model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
sentence-transformers/msmarco-distilbert-base-v4,484601,sentence-similarity,66362880.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'distilbert', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
thenlper/gte-large,481646,sentence-similarity,335142400.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'sentence-similarity', 'Sentence Transformers', 'en', 'arxiv:2308.03281', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,gte-large,,,['en']
sentence-transformers/distilbert-base-nli-mean-tokens,478363,feature-extraction,66362880.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'distilbert', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
openai-community/gpt2-xl,477611,text-generation,1607942848.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'gpt2', 'text-generation', 'en', 'arxiv:1910.09700', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,en
tals/albert-xlarge-vitaminc-mnli,475708,text-classification,58731523.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'albert', 'text-classification', 'dataset:glue', 'dataset:multi_nli', 'dataset:tals/vitaminc', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,"['glue', 'multi_nli', 'tals/vitaminc']",,,,
facebook/w2v-bert-2.0,474706,feature-extraction,580493120.0,"['transformers', 'safetensors', 'wav2vec2-bert', 'feature-extraction', 'af', 'am', 'ar', 'as', 'az', 'be', 'bn', 'bs', 'bg', 'ca', 'cs', 'zh', 'cy', 'da', 'de', 'el', 'en', 'et', 'fi', 'fr', 'or', 'om', 'ga', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'ig', 'id', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'mn', 'km', 'ky', 'ko', 'lo', 'ln', 'lt', 'lb', 'lg', 'lv', 'ml', 'mr', 'mk', 'mt', 'mi', 'my', 'nl', 'nb', 'ne', 'ny', 'oc', 'pa', 'ps', 'fa', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sn', 'sd', 'so', 'es', 'sr', 'sv', 'sw', 'ta', 'te', 'tg', 'tl', 'th', 'tr', 'uk', 'ur', 'uz', 'vi', 'wo', 'xh', 'yo', 'ms', 'zu', 'ary', 'arz', 'yue', 'kea', 'arxiv:2312.05187', 'license:mit', 'region:us']",mit,,,,,"['af', 'am', 'ar', 'as', 'az', 'be', 'bn', 'bs', 'bg', 'ca', 'cs', 'zh', 'cy', 'da', 'de', 'el', 'en', 'et', 'fi', 'fr', 'or', 'om', 'ga', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'ig', 'id', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'mn', 'km', 'ky', 'ko', 'lo', 'ln', 'lt', 'lb', 'lg', 'lv', 'ml', 'mr', 'mk', 'mt', 'mi', 'my', 'nl', 'nb', 'ne', 'ny', 'oc', 'pa', 'ps', 'fa', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sn', 'sd', 'so', 'es', 'sr', 'sv', 'sw', 'ta', 'te', 'tg', 'tl', 'th', 'tr', 'uk', 'ur', 'uz', 'vi', 'wo', 'xh', 'yo', 'ms', 'zu', 'ary', 'arz', 'yue', 'kea']"
peft-internal-testing/tiny-clip-text-2,471187,,69497.0,"['transformers', 'pytorch', 'safetensors', 'clip_text_model', 'endpoints_compatible', 'region:us']",,,,,,
huawei-noah/TinyBERT_General_4L_312D,470869,,,"['transformers', 'pytorch', 'jax', 'bert', 'arxiv:1909.10351', 'endpoints_compatible', 'region:us']",,,,,,
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,470715,audio-classification,165336707.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'speech', 'audio', 'audio-classification', 'emotion-recognition', 'en', 'dataset:msp-podcast', 'arxiv:2203.07378', 'license:cc-by-nc-sa-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-sa-4.0,['msp-podcast'],,,,en
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,470572,text-classification,82121221.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'roberta', 'text-classification', 'generated_from_trainer', 'financial', 'stocks', 'sentiment', 'dataset:financial_phrasebank', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['financial_phrasebank'],distilRoberta-financial-sentiment,['accuracy'],,
EvanD/xlm-roberta-base-romanian-ner-ronec,470159,token-classification,,"['transformers', 'pytorch', 'xlm-roberta', 'token-classification', 'named-entity-recognition', 'sequence-tagger-model', 'ro', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,['ro']
eenzeenee/t5-base-korean-summarization,469960,summarization,275579136.0,"['transformers', 'pytorch', 'safetensors', 't5', 'text2text-generation', 'T5', 'summarization', 'ko', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,['ko']
ai4bharat/indictrans2-indic-en-1B,466780,translation,1023006720.0,"['transformers', 'pytorch', 'safetensors', 'IndicTrans', 'text2text-generation', 'indictrans2', 'translation', 'ai4bharat', 'multilingual', 'custom_code', 'as', 'bn', 'brx', 'doi', 'en', 'gom', 'gu', 'hi', 'kn', 'ks', 'kas', 'mai', 'ml', 'mr', 'mni', 'mnb', 'ne', 'or', 'pa', 'sa', 'sat', 'sd', 'snd', 'ta', 'te', 'ur', 'dataset:flores-200', 'dataset:IN22-Gen', 'dataset:IN22-Conv', 'arxiv:2305.16307', 'license:mit', 'autotrain_compatible', 'region:us']",mit,"['flores-200', 'IN22-Gen', 'IN22-Conv']",,"['bleu', 'chrf', 'chrf++', 'comet']",,"['as', 'bn', 'brx', 'doi', 'en', 'gom', 'gu', 'hi', 'kn', 'ks', 'kas', 'mai', 'ml', 'mr', 'mni', 'mnb', 'ne', 'or', 'pa', 'sa', 'sat', 'sd', 'snd', 'ta', 'te', 'ur']"
sentence-transformers/sentence-t5-base,463509,sentence-similarity,109628544.0,"['sentence-transformers', 'pytorch', 'rust', 'safetensors', 't5', 'feature-extraction', 'sentence-similarity', 'en', 'arxiv:2108.08877', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
Maple728/TimeMoE-50M,461313,time-series-forecasting,113352192.0,"['safetensors', 'time_moe', 'time-series-forecasting', 'custom_code', 'arxiv:2409.16040', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
cross-encoder/ms-marco-electra-base,460397,text-classification,109483521.0,"['transformers', 'pytorch', 'safetensors', 'electra', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
HuggingFaceTB/SmolLM2-1.7B-Instruct,458146,text-generation,1711376384.0,"['transformers', 'tensorboard', 'onnx', 'safetensors', 'llama', 'text-generation', 'transformers.js', 'conversational', 'en', 'arxiv:2502.02737', 'base_model:HuggingFaceTB/SmolLM2-1.7B', 'base_model:quantized:HuggingFaceTB/SmolLM2-1.7B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,['HuggingFaceTB/SmolLM2-1.7B'],['en']
descript/dac_44khz,450668,feature-extraction,76620777.0,"['transformers', 'safetensors', 'dac', 'feature-extraction', 'arxiv:1910.09700', 'endpoints_compatible', 'region:us']",,,,,,
Snowflake/snowflake-arctic-embed-m,448470,sentence-similarity,108891648.0,"['sentence-transformers', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'mteb', 'arctic', 'snowflake-arctic-embed', 'transformers.js', 'arxiv:2407.18887', 'arxiv:2405.05374', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,snowflake-arctic-embed-m,,,
google/electra-small-discriminator,445965,,,"['transformers', 'pytorch', 'tf', 'jax', 'electra', 'pretraining', 'en', 'arxiv:1406.2661', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
Helsinki-NLP/opus-mt-nl-en,444464,translation,,"['transformers', 'pytorch', 'tf', 'rust', 'marian', 'text2text-generation', 'translation', 'nl', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
pyannote/brouhaha,444181,voice-activity-detection,,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'audio', 'voice', 'speech', 'voice-activity-detection', 'speech-to-noise ratio', 'snr', 'room acoustics', 'c50', 'dataset:LibriSpeech', 'dataset:AudioSet', 'dataset:EchoThief', 'dataset:MIT-Acoustical-Reverberation-Scene', 'arxiv:2210.13248', 'license:openrail', 'region:us']",openrail,"['LibriSpeech', 'AudioSet', 'EchoThief', 'MIT-Acoustical-Reverberation-Scene']",,,,
openai/whisper-medium,443663,automatic-speech-recognition,763857920.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,,whisper-medium,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
Tencent-Hunyuan/HunyuanDiT-v1.1-Diffusers-Distilled,441978,text-to-image,,"['diffusers', 'safetensors', 'en', 'arxiv:2405.08748', 'license:other', 'diffusers:HunyuanDiTPipeline', 'region:us']",other,,,,,['en']
unslothai/vram-80,440534,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
StanfordAIMI/XrayCLIP__vit-b-16__laion2b-s34b-b88k,437495,zero-shot-image-classification,150348288.0,"['transformers', 'safetensors', 'clip', 'zero-shot-image-classification', 'arxiv:2401.12208', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,,,,,
cambridgeltl/SapBERT-UMLS-2020AB-all-lang-from-XLMR,436421,feature-extraction,278044162.0,"['transformers', 'pytorch', 'safetensors', 'xlm-roberta', 'feature-extraction', 'arxiv:2010.11784', 'endpoints_compatible', 'region:us']",,,,,,
unslothai/colab,434630,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
microsoft/swin-tiny-patch4-window7-224,434559,image-classification,28317166.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'swin', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:2103.14030', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['imagenet-1k'],,,,
google/gemma-2-2b-it,432240,text-generation,2614341888.0,"['transformers', 'safetensors', 'gemma2', 'text-generation', 'conversational', 'arxiv:2009.03300', 'arxiv:1905.07830', 'arxiv:1911.11641', 'arxiv:1904.09728', 'arxiv:1905.10044', 'arxiv:1907.10641', 'arxiv:1811.00937', 'arxiv:1809.02789', 'arxiv:1911.01547', 'arxiv:1705.03551', 'arxiv:2107.03374', 'arxiv:2108.07732', 'arxiv:2110.14168', 'arxiv:2009.11462', 'arxiv:2101.11718', 'arxiv:2110.08193', 'arxiv:1804.09301', 'arxiv:2109.07958', 'arxiv:1804.06876', 'arxiv:2103.03874', 'arxiv:2304.06364', 'arxiv:1903.00161', 'arxiv:2206.04615', 'arxiv:2203.09509', 'arxiv:2403.13793', 'base_model:google/gemma-2-2b', 'base_model:finetune:google/gemma-2-2b', 'license:gemma', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",gemma,,,,google/gemma-2-2b,
BAAI/bge-small-en,426635,feature-extraction,33360512.0,"['transformers', 'pytorch', 'safetensors', 'bert', 'feature-extraction', 'mteb', 'sentence transformers', 'en', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,bge-small-en,,,['en']
sentence-transformers/use-cmlm-multilingual,425009,sentence-similarity,472022179.0,"['sentence-transformers', 'pytorch', 'tf', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
MIT/ast-finetuned-audioset-10-10-0.4593,423581,audio-classification,86594063.0,"['transformers', 'pytorch', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'arxiv:2104.01778', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",bsd-3-clause,,,,,
facebook/wav2vec2-xlsr-53-espeak-cv-ft,422899,automatic-speech-recognition,,"['transformers', 'pytorch', 'wav2vec2', 'automatic-speech-recognition', 'speech', 'audio', 'phoneme-recognition', 'dataset:common_voice', 'arxiv:2109.11680', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['common_voice'],,,,
cecibas/Midnight-Miqu-70B-v1.5-4bit,422003,text-generation,,"['transformers', 'pytorch', 'llama', 'text-generation', 'conversational', 'license:unknown', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'awq', 'region:us']",unknown,,,,,
openai-community/gpt2-medium,419319,text-generation,379988992.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'onnx', 'safetensors', 'gpt2', 'text-generation', 'en', 'arxiv:1910.09700', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,en
intfloat/e5-base-v2,416368,sentence-similarity,109482752.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'bert', 'mteb', 'Sentence Transformers', 'sentence-similarity', 'en', 'arxiv:2212.03533', 'arxiv:2104.08663', 'arxiv:2210.07316', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,e5-base-v2,,,['en']
unslothai/vram-40,415358,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
unsloth/Meta-Llama-3.1-8B-Instruct,415105,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'llama-3', 'meta', 'facebook', 'unsloth', 'conversational', 'en', 'base_model:meta-llama/Llama-3.1-8B-Instruct', 'base_model:finetune:meta-llama/Llama-3.1-8B-Instruct', 'license:llama3.1', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",llama3.1,,,,meta-llama/Llama-3.1-8B-Instruct,['en']
nbroad/ESG-BERT,414796,text-classification,109502746.0,"['transformers', 'pytorch', 'safetensors', 'bert', 'text-classification', 'en', 'arxiv:1910.09700', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,['en']
ds4sd/docling-models,414442,,,"['transformers', 'safetensors', 'arxiv:2408.09869', 'arxiv:2206.01062', 'doi:10.57967/hf/3036', 'license:cdla-permissive-2.0', 'endpoints_compatible', 'region:us']",cdla-permissive-2.0,,,,,
Helsinki-NLP/opus-mt-ja-en,411353,translation,,"['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'ja', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
second-state/Gemma-2b-it-GGUF,402854,text-generation,,"['transformers', 'gguf', 'gemma', 'text-generation', 'base_model:google/gemma-2b-it', 'base_model:quantized:google/gemma-2b-it', 'license:other', 'autotrain_compatible', 'region:us', 'conversational']",other,,gemma 2b it,,google/gemma-2b-it,
imfarzanansari/skintelligent-acne,402832,image-classification,85802501.0,"['transformers', 'safetensors', 'vit', 'image-classification', 'en', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,['precision'],,['en']
microsoft/Phi-3.5-vision-instruct,402222,image-text-to-text,4146621440.0,"['transformers', 'safetensors', 'phi3_v', 'text-generation', 'nlp', 'code', 'vision', 'image-text-to-text', 'conversational', 'custom_code', 'multilingual', 'arxiv:2404.14219', 'license:mit', 'autotrain_compatible', 'region:us']",mit,,,,,['multilingual']
MaziyarPanahi/gemma-3-1b-it-GGUF,401631,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:google/gemma-3-1b-it', 'base_model:quantized:google/gemma-3-1b-it', 'region:us', 'conversational']",,,gemma-3-1b-it-GGUF,,google/gemma-3-1b-it,
microsoft/git-base,396956,image-to-text,176620287.0,"['transformers', 'pytorch', 'safetensors', 'git', 'image-text-to-text', 'vision', 'image-to-text', 'image-captioning', 'en', 'arxiv:2205.14100', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,microsoft/git-base,,,en
Helsinki-NLP/opus-mt-it-en,396116,translation,,"['transformers', 'pytorch', 'tf', 'marian', 'text2text-generation', 'translation', 'it', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
timm/tf_efficientnetv2_s.in21k_ft_in1k,395790,image-classification,21612360.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2104.00298', 'license:apache-2.0', 'region:us']",apache-2.0,"['imagenet-1k', 'imagenet-21k']",,,,
oliverguhr/german-sentiment-bert,393811,text-classification,109083651.0,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'bert', 'text-classification', 'sentiment', 'de', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,['f1'],,['de']
kosbu/Llama-3.3-70B-Instruct-AWQ,392849,text-generation,11260665856.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'facebook', 'meta', 'llama-3', 'awq', 'conversational', 'en', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'de', 'base_model:meta-llama/Llama-3.3-70B-Instruct', 'base_model:quantized:meta-llama/Llama-3.3-70B-Instruct', 'license:llama3.3', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', '4-bit', 'region:us']",llama3.3,,,,['meta-llama/Llama-3.3-70B-Instruct'],"['en', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'de']"
mixedbread-ai/mxbai-rerank-xsmall-v1,389799,text-classification,70830337.0,"['transformers', 'onnx', 'safetensors', 'deberta-v2', 'text-classification', 'reranker', 'transformers.js', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,['en']
MaziyarPanahi/gemma-3-4b-it-GGUF,389121,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:google/gemma-3-4b-it', 'base_model:quantized:google/gemma-3-4b-it', 'region:us', 'conversational']",,,gemma-3-4b-it-GGUF,,google/gemma-3-4b-it,
stabilityai/sd-turbo,389043,text-to-image,,"['diffusers', 'safetensors', 'text-to-image', 'autotrain_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",,,,,,
bartowski/Llama-3.2-1B-Instruct-GGUF,388960,text-generation,,"['gguf', 'facebook', 'meta', 'llama', 'llama-3', 'text-generation', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.2-1B-Instruct', 'base_model:quantized:meta-llama/Llama-3.2-1B-Instruct', 'license:llama3.2', 'endpoints_compatible', 'region:us', 'conversational']",llama3.2,,,,meta-llama/Llama-3.2-1B-Instruct,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
pyannote/embedding,385966,,,"['pyannote-audio', 'pytorch', 'tensorboard', 'pyannote', 'pyannote-audio-model', 'audio', 'voice', 'speech', 'speaker', 'speaker-recognition', 'speaker-verification', 'speaker-identification', 'speaker-embedding', 'dataset:voxceleb', 'license:mit', 'region:us']",mit,['voxceleb'],,,,
facebook/esm2_t33_650M_UR50D,383628,fill-mask,652358616.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'esm', 'fill-mask', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,
MaziyarPanahi/gemma-3-12b-it-GGUF,383355,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:google/gemma-3-12b-it', 'base_model:quantized:google/gemma-3-12b-it', 'region:us', 'conversational']",,,gemma-3-12b-it-GGUF,,google/gemma-3-12b-it,
